ID	ENGLISH	SPANISH	PORTUGUESE	NOTES	SIMPLIFIED	SEMANTIC FIELD	SENSORY CATEGORY
1497	waving arms in the air	agitar los brazos en el aire			waving	Basic actions and technology	VISUAL
1498	clatter to the ground	caerse estrepitosamente al suelo			clatter to the ground	Motion	AUDITORY
1499	boiling	algo hirviendo			boiling	Food and drink	AUDITORY
1500	laughter	risa			laughter	Emotion and values	AUDITORY
1501	dog barking	perro ladrando			bark	Animals	AUDITORY
1502	threatening cry	grito amenazante			threatening cry	Speech and language	AUDITORY
1503	happening easily and quickly	ocurrir fácil y rápidamente			easily and quickly	OTHER	?
1504	falling down	caer			falling down	Motion	VISUAL, AUDITORY
1505	bird croaking	ave graznando			bird croaking	Animals	AUDITORY
1506	desire and lust	deseo y lujuria			desire, lust	Emotion and values	INTERNAL STATE
1507	slowly falling down	caer lentamente			slowly falling down	Motion	VISUAL
1508	falling down to break	caerse y romperse			falling down and break	Motion	AUDITORY, VISUAL
1509	tree falling down	árbol cayéndose			tree falling down	Agriculture and vegetation, Motion	AUDITORY
1510	sth. falling into water	algo cayéndose al agua			falling into water	Motion	AUDITORY
1511	sizzling	sonido de freír algo		La última sílaba de la reduplicación tiene vocal larga.	sizzling	Food and drink	AUDITORY
1512	sliding down	resbalar hacia abajo			sliding down	Motion	VISUAL
1513	falling down after sliding	caerse después de resbalar			sliding and falling down	Motion	VISUAL
1514	applying magic	aplicar magia			applying magic	Religion and belief	?
1515	child crying	niño/a llorando			child crying	Emotion and values	AUDITORY
1516	firing of gun	disparo de arma de fuego		[T]he forms vary somewhat from speaker to speaker". There does not seem to be consistency in reproducing the sounds suggested by a particular event or thing	firing of gun	Warfare and hunting	AUDITORY
1517	thumping	golpear			thumping	Basic actions and technology	AUDITORY
1518	howling	aullar			howling	Animals	AUDITORY
1519	banging	tocar/golpear (p. ej., una puerta)			banging	Basic actions and technology	AUDITORY
1520	pulling off	jalar			pulling off	Basic actions and technology	VISUAL
1521	laughing	reír			laughing	Emotion and values	AUDITORY
1522	splitting open	abrir algo partiéndolo			splitting open	Basic actions and technology	AUDITORY, VISUAL
1523	clap	aplaudir			clap	Basic actions and technology	AUDITORY
1524	drip	goteo			drip	The physical world	AUDITORY
1525	tight	apretado			tight	Sense perception	TACTILE
1526	crow	cacarear			crow	Animals	AUDITORY
1527	die	morir			die	The body	INTERNAL STATE
1528	drag	arrastrar			drag	Motion	VISUAL, AUDITORY
1529	rock (side to side)	mecer de un lado a otro			rock side to side	Motion	VISUAL
1530	to come out into clearing	salir a un lugar despejado			to come out into clearing	Motion	VISUAL
1531	slip loose	¿soltarse/desprenderse?			slip loose	Basic actions and technology	VISUAL
1532	lie on ground	yacer en el suelo			lie on ground	Spatial relations	VISUAL
1533	to go in a line	ir en fila			to go in a line	Spatial relations	VISUAL
1534	up	hacia arriba		Se repite en el ejemplo: "say, say, say, say [...]".	up	Motion	VISUAL
1535	become light	iluminarse			become light	The physical world	VISUAL
1536	become dark	oscurecerse			become dark	The physical world	VISUAL
1537	set down	¿bajar algo/colocar algo abajo?			set down	Motion	VISUAL
1538	flash	destello			flash	Sense perception	VISUAL
1539	slip	resbalarse			slip	Basic actions and technology	VISUAL
1540	splash	¡splash! / caer en el agua / salpicar?			splash	Motion	AUDITORY
1541	break (slender object)	romper (objeto delgado)			break (slender object)	Basic actions and technology	AUDITORY
1542		voz del mono washi			monkey species	Animals	AUDITORY
1543		gritos de la gallina apresada			captured chicken	Animals	AUDITORY
1544		voz del faisán (aunts) espantado			scared pheasant	Animals	AUDITORY
1545		voz del jefe de los monos washi			monkey species	Animals	AUDITORY
1546		voz del ave sunka, del sapo shanká y de la culebra wánip			bird species, frog species, snake species	Animals	AUDITORY
1547		quejidos, sollozos			moans, sobs	Emotion and values	AUDITORY
1548		voz del ave seuk			bird species	Animals	AUDITORY
1549		voz del ave iísip’			bird species	Animals	AUDITORY
1550		voz de la lemucha (káshai) y de la capibara (unkúmia)			capybara	Animals	AUDITORY
1551		voz de la lagartija náitiaksumpa			lizard species	Animals	AUDITORY
1552		voz del ave tayu			bird species	Animals	AUDITORY
1553		chillido del perro			dog yelping	Animals	AUDITORY
1554		estornudo (de las personas)			sneeze	The body	AUDITORY
1555		ladrido		La última vocal de la reduplicación se alarga.	bark	Animals	AUDITORY
1556		pum, de golpe			to strike	Basic actions and technology	AUDITORY
1557		voz del mono ujúkam			monkey species	Animals	AUDITORY
1558		voz del sajino yankípik; jadeo			peccary species	Animals	AUDITORY
1559		voz del mono jéekam			monkey species	Animals	AUDITORY
1560		grito ritual para alejar a los malos espíritu emésak, durante la celebración de la tsantsa.			ritual cry	Religion and belief, Speech and language	AUDITORY
1561		jadeo			panting	The body	AUDITORY
1562		voz del ave tseréchink’			bird species	Animals	AUDITORY
1563		voz de las aves tsánti y kintiachinki			bird species	Animals	AUDITORY
1564		voz del ave pitsa			bird species	Animals	AUDITORY
1565		voz del trompetero			bird species	Animals	AUDITORY
1566		voz de los sapos juátᵘ y tseátᵘ			frog species	Animals	AUDITORY
1567		voz del pavo kuyu y del avecilla maitiún			bird species	Animals	AUDITORY
1568		silbido de una flecha, o bala			arrow, bullet	Warfare and hunting	AUDITORY
1569		carcajada femenina			woman laughing	Emotion and values	AUDITORY
1570		voz de la paloma paúm			bird species	Animals	AUDITORY
1571		ruido intestinal			intestinal rumbling	The body	AUDITORY
1572		rugido (del tigre)			jaguar roar	Animals	AUDITORY
1573		sonido de la flauta			flute	Basic actions and technology	AUDITORY
1574		gruñido (del sajino bravo)			peccary growling	Animals	AUDITORY
1575		gruñido (del sahino al escaparse)			peccary growling	Animals	AUDITORY
1576		borbolleo (del agua que hierve)			boiling	Food and drink	AUDITORY
1577		voz del ave yúkuru			bird species	Animals	AUDITORY
1578		voz del búho yawá-ampush; voz para alejar las fieras			owl species	Animals	AUDITORY
1579		voz de la tórtola yámpits			bird species	Animals	AUDITORY
1580		voz del paují (mashu)			bird species	Animals	AUDITORY
1581		voz del ave de rapiña kaúta			bird species	Animals	AUDITORY
1582		cacareo (de la gallina)			clucking	Animals	AUDITORY
1583		ruido de algo que choca contra las ramas de las plantas			strike against plant branches	Agriculture and vegetation	AUDITORY
1584		crujir (del árbol que va a caer)			creaking of tree about to fall	Agriculture and vegetation	AUDITORY
1585		voz del ave panka			bird species	Animals	AUDITORY
1586		crujido (del árbol que cae, o sacudido por el viento)			creaking of tree	Agriculture and vegetation	AUDITORY
1587		crujido (de las quinchas, del árbol que cae, o sacudido por el viento)			creaking	Agriculture and vegetation	AUDITORY
1588		crujido (al caerse un árbol)			creaking of falling tree	Agriculture and vegetation	AUDITORY
1589		voz del sapo purusham			frog species	Animals	AUDITORY
1590		voz del sapo kaka y del ave kakárpats			frog species, bird species	Animals	AUDITORY
1591		voz del oso (bravo)			bear	Animals	AUDITORY
1592		crac (ruido de quebrar)			break	Basic actions and technology	AUDITORY
1593		voz del ave kamukam			bird species	Animals	AUDITORY
1594		voz del gallo en los peligros			rooster	Animals	AUDITORY
1595		voz del sapo karákras			frog species	Animals	AUDITORY
1596		voz del ave kakárpats			bird species	Animals	AUDITORY
1597		voz del sapo takáshᵘ			frog species	Animals	AUDITORY
1598		voz del ave aúnts (faisán)			bird species	Animals	AUDITORY
1599		voz del ave kérua			bird species	Animals	AUDITORY
1600		tac (ruido de caer)			falling	Motion	AUDITORY
1601		voz del ave káawia			bird species	Animals	AUDITORY
1602		ruido de masticar			chewing	Food and drink, The body	AUDITORY
1603		voz del ave kíruancham			bird species	Animals	AUDITORY
1604		voz del ave wikiúakiua			bird species	Animals	AUDITORY
1605		arre, vete, lárgate! (voz para alejar animales)		Parece interjección.	scaring away animals	Animals	AUDITORY
1606		voz para alejar a los perros			scaring away dogs	Animals	AUDITORY
1607		voz para alejar las aves			scaring away brids	Animals	AUDITORY
1608		voz para alejar las fieras			scaring away wild animals	Animals	AUDITORY
1609		ruido (de huesos)			bones	The body	AUDITORY
1610		voz del sapo suya			frog species	Animals	AUDITORY
1611		voz del sapo kiámp			frog species	Animals	AUDITORY
1612		voz del sapito kirísip’			frog species	Animals	AUDITORY
1613		voz del sapo kirúpash			frog species	Animals	AUDITORY
1614		tos			cough	The body	AUDITORY
1615		voz del sapo puách’			frog species	Animals	AUDITORY
1616		voz del sapo kua̠			frog species	Animals	AUDITORY
1617		ruido de rajar, quebrar			cracking sound	Basic actions and technology	AUDITORY
1618		grito, lloro (a gritos)			loud crying	Emotion and values	AUDITORY
1619		voz del ave paínkia-pinínch’			bird species	Animals	AUDITORY
1620		voz del ave kantará			bird species	Animals	AUDITORY
1621		voz del flautero			bird species	Animals	AUDITORY
1622		voz del ave yúkupu y kupi			bird species	Animals	AUDITORY
1623		ronquidos			snore	The body	AUDITORY
1624		ronquido (al despertarse improvisamente)			snore	The body	AUDITORY
1625		voz de la guatusa			agouti	Animals	AUDITORY
1626		ruido de escupir			spit	The body	AUDITORY
1627		voz del amich’ y del trompetero chiwia al ser alcanzados			bird species	Animals	AUDITORY
1628		ruido de talar			felling a tree	Agriculture and vegetation	AUDITORY
1629		con un golpe, de improviso			sudden blow	Basic actions and technology	VISUAL, AUDITORY
1630		voz del ave kute			bird species	Animals	AUDITORY
1631		voz del gato; berrido			cat	Animals	AUDITORY
1632		voz para llamar el gato		Parece interjección	calling a cat	Animals	AUDITORY
1633		ruido de la boca al comer			eating	Food and drink, The body	AUDITORY
1634		voz del ave shiík			bird species	Animals	AUDITORY
1635		voz del sapo muruímias			frog species	Animals	AUDITORY
1636		voz del sapo tentémpᵘ			frog species	Animals	AUDITORY
1637		gruñidos, ruido de morder huesos			growl, gnawing bones	Speech and language, Basic actions and technology	AUDITORY
1638		canto del gallo montés ayáchui			bird species	Animals	AUDITORY
1639		golpe			hit	Basic actions and technology	AUDITORY
1640		ruido de un golpe			hit	Basic actions and technology	AUDITORY
1641		voz del sapo paí; listo listo!			frog species	Animals	AUDITORY
1642		pum, golpe, de golpe, a golpes			hit	Basic actions and technology	AUDITORY
1643		hacer palmas, golpear las manos			clap	Basic actions and technology	AUDITORY
1644		poner uno encima de otro, sobreponer algo			to put on top	Spatial relations	VISUAL
1645		brincar, saltar encima (de una rama a otra), chocar (sobre las ramas y las hojas)			jump	Motion	VISUAL, AUDITORY
1646		golpe suave			soft tap	Basic actions and technology	AUDITORY
1647		voz del ave wakán’			bird species	Animals	AUDITORY
1648		voz del pájaro carpintero tatásham			bird species	Animals	AUDITORY
1649		voz del tapir			tapir	Animals	AUDITORY
1650		voz del ave pirísit			bird species	Animals	AUDITORY
1651		golpe suave (del hacha, del machete y de las teclas de una máquina de escribir)			soft tap with an instrument	Basic actions and technology	AUDITORY
1652		muchos golpes seguidos			many blows in a row	Basic actions and technology	AUDITORY
1653		voz del ave úshap			bird species	Animals	AUDITORY
1654		voz del mono tséepai			monkey species	Animals	AUDITORY
1655		voz del ave piwi			bird species	Animals	AUDITORY
1656		voz del ave puúr y del sapo puínt; canción de cuna			bird species	Animals	AUDITORY
1657		voz del ave tushim			bird species	Animals	AUDITORY
1658		ruido de rajarse, romperse en pedazos (hierros, vasijas…)			cracking, breaking into pieces	Basic actions and technology	AUDITORY
1659		ruido (fuertes golpes; truenos)			loud noise	Sense perception	AUDITORY
1660		ruido fuerte de un trueno que va alejándose			thunder	The physical world	AUDITORY
1661		borboteo (de una vertiente)			bubbling	The physical world	AUDITORY
1662		ruido de clavar (en el suelo)			stick into the ground	Basic actions and technology	AUDITORY
1663		ruído de zampullir			diving	Motion	AUDITORY
1664		voz del mono yakum (mono coto)			monkey species	Animals	AUDITORY
1665		ruido (de raspar, arrancar, morder, carcomer)			scraping, tearing, biting, gnawing	Basic actions and technology	AUDITORY
1666		ruido de arrancar			to start	Basic actions and technology	AUDITORY
1667		voz de los loros kawá, achu kawá y shámak			parrot species	Animals	AUDITORY
1668		ruido de rozar con algo			rubbing against something	Basic actions and technology	AUDITORY
1669		ruido (de arrancarse, o soltarse)			coming loose	Basic actions and technology	AUDITORY
1670		voz de los pichones buglas hambrientos			bird species	Animals	AUDITORY
1671		sonido al sacudir el hisopo sasankᵘ; al deslizarse en el agua			bird species	Basic actions and technology	AUDITORY
1672		zumbido (de los enjambres de avispas, o del batir de alas)			buzzing	Animals	AUDITORY
1673		voz del ave nunkankit y de la culebra secha-napi			bird species, snake species	Animals	AUDITORY
1674		voz del azulejo secha			bird species	Animals	AUDITORY
1675		voz del ave tsanke (bugla)			bird species	Animals	AUDITORY
1676		ruido (de motores)			engine	Basic actions and technology	AUDITORY
1677		voz del buho úunt-ampush			owl species	Animals	AUDITORY
1678		ronquido, soplo, respiro afanoso			snoring, puffing, strong breathing	The body	AUDITORY
1679		voz del mono sunkamat			monkey species	Animals	AUDITORY
1680		voz del ave sunkarkut (bugla)			bird species	Animals	AUDITORY
1681		aleteo			flutter	Animals	VISUAL, AUDITORY
1682		voz del oso hormiguero wishíwshi			anteater	Animals	AUDITORY
1683		soplo			breath	Basic actions and technology	AUDITORY
1684		llanto del bebé; voz del cuervo shanáshnia			baby's cry, bird species	Emotion and values	AUDITORY
1685		voz del loro shámak			parrot species	Animals	AUDITORY
1686		ruido de un chaparrón, del aguacero			heavy rainfall	The physical world	AUDITORY
1687		ruido (de algo que cae)			falling	Motion	AUDITORY
1688		ruido (de meter, de rozar)			insert, cut	Motion	AUDITORY
1689		llorar del pollo, voz del loro shiápᵘ			chicken, parrot species	Animals	AUDITORY
1690		voz del grillo chúnchup’			cricket species	Animals	AUDITORY
1691		voz del grillo tinkishap’			cricket species	Animals	AUDITORY
1692		voz del periquito nuínuí			parakeet species	Animals	AUDITORY
1693		grito (para llamar al perro lejano)		Parece interjección.	calling a dog	Animals	AUDITORY
1694		silbido			whistle	Basic actions and technology	AUDITORY
1695		voz del ave acuática piámpia y de la golondrina shuírpip			bird species	Animals	AUDITORY
1696		voz de la perdiz waa			bird species	Animals	AUDITORY
1697		derrame			spill	The physical world	AUDITORY
1698		ruido de engullir			swallowing	Food and drink, The body	AUDITORY
1699		voz del tapir y del caballo			tapir, horse	Animals	AUDITORY
1700		voz del mono tsere (jáanchᵘ)			monkey species	Animals	AUDITORY
1701		voz de la perdiz wankesh			bird species	Animals	AUDITORY
1702		sonido de asentar			settling	Motion	VISUAL, AUDITORY
1703		gritos del mono washi			monkey species	Animals	AUDITORY
1704		voz de la lora pushúkawá			parrot species	Animals	AUDITORY
1705		voz de los pollitos al traerles la comida			chicks	Animals	AUDITORY
1706		ruido de algo que cae en el lodo			falling into the mud	Motion	AUDITORY
1707		golpe (de choque)			crash	Basic actions and technology	AUDITORY
1708		voz del ave chanke			bird species	Animals	AUDITORY
1709		bulla, alboroto			commotion	Speech and language	AUDITORY
1710		voz del ave charakat (martín pescador)			bird species	Animals	AUDITORY
1711		voz del mono chuu			monkey species	Animals	AUDITORY
1712		voz del ave chaasem			bird species	Animals	AUDITORY
1713		voz de buen agüero del ave ikiánchim			bird species good omen call	Animals	AUDITORY
1714		voz del mono washi asustado			monkey species	Animals	AUDITORY
1715		voz del mirlo yúkupu			bird species	Animals	AUDITORY
1716		voz del ave chiankái			bird species	Animals	AUDITORY
1717		llanto, quejido, chillido			crying, moaning, shrieking	Emotion and values	AUDITORY
1718		acción de abrir la boca			opening the mouth	The body	AUDITORY
1719		silbido (del oído, de la leña verde en el fuego, de algo caliente al contacto con algo frío); voz del grillo tíinchup’			whistling sound	Sense perception	AUDITORY
1720		voz de mal agüero del ave ikiánchim			bird species bad omen call	Animals	AUDITORY
1721		voz del zorro míkiua (voz de mal agüero)			fox bad omen call	Animals	AUDITORY
1722		crac (ruido al destacarse, o al desgajarse, una rama, o un miembro del cuerpo)			cracking noise	Sense perception	AUDITORY
1723		bulla (lloro)			crying	Emotion and values	AUDITORY
1724		llanto del bebé			baby crying	Emotion and values	AUDITORY
1725		voz del perico chiimp			parrot species	Animals	AUDITORY
1726		voz del sapito chirímius			frog species	Animals	AUDITORY
1727		voz del avecilla kapantin-chinki			bird species	Animals	AUDITORY
1728		voz del ave chuwi (bugla)			bird species	Animals	AUDITORY
1729		estornudo (de los animales)			animal sneezing	Animals	AUDITORY
1730		voz del ave chuíkit			bird species	Animals	AUDITORY
1731		ruido de sacar los pies del barro			taking feet out of the mud	The body	AUDITORY
1732		ruido de meter, clavar, martillar, derrumbar			insert with a strike	Basic actions and technology	AUDITORY
1733		tac, pinchazo			puncture	Basic actions and technology	AUDITORY
1734		voz del ave tsanke			bird species	Animals	AUDITORY
1735		sacudida (del temblor, del viento…)			shaking	Motion	VISUAL
1736		voz agresiva del faisán (aunts), del perro y del tigre			pheasant	Animals	AUDITORY
1737		ruido de los pedos; ruido de carcomer			fart	The body	AUDITORY
1738		crujido (de vainas que se abren)			crackling sound	Agriculture and vegetation	AUDITORY
1739		ruido de descascarar			peeling	Basic actions and technology	AUDITORY
1740		zas, roce, a tajos			cutting	Basic actions and technology	AUDITORY
1741		Voz del monito tséem o tsenkush’, del ave tseátik y del lorito tseap; chillido del puerco.			bird species	Animals	AUDITORY
1742		gorjeos, trinos			chirp, trill	Animals	AUDITORY
1743		voz del colibrí, del avecita juú-chínki y del avecilla makákit			bird species	Animals	AUDITORY
1744		relampagueo			lightning	The physical world	VISUAL, AUDITORY
1745		ruido de cascabeles			bell	Basic actions and technology	AUDITORY
1746		ruido de motores, de algo que rueda, zumbido, tañido			engine	Basic actions and technology	AUDITORY
1747		voz del ave kirus			bird species	Animals	AUDITORY
1748		voz del murciélago jéencham y del perico chinimp’			bat species	Animals	AUDITORY
1749		sonido de la guitarra			guitar	Basic actions and technology	AUDITORY
1750		voz del ave tsérenma			bird species	Animals	AUDITORY
1751		voz del ave tatsémai			bird species	Animals	AUDITORY
1752		chillidos, zumbidos (de aves e insectos)			squealing, buzzing	Animals	AUDITORY
1753		voz del lorito tseap			parrot species	Animals	AUDITORY
1754		ruido de rasgar (tela, papel)			tearing	Basic actions and technology	AUDITORY
1755		voz de los ratones			mouse	Animals	AUDITORY
1756		voz de la ardilla (kunampᵉ)			squirrel species	Animals	AUDITORY
1757		ruido de oleaje (de la creciente)			waves	The physical world	AUDITORY
1758		ruido (de caer en el agua)			falling into the water	Motion	AUDITORY
1759		absorbencia			absorbency	Basic actions and technology	?
1760		voz del ave yamatam			bird species	Animals	AUDITORY
1761		voz para llamar al cuchucho			calling a dog	Animals	AUDITORY
1762		voz del ave taanchiat			bird species	Animals	AUDITORY
1763		voz del ave táwai			bird species	Animals	AUDITORY
1764		cuchicheo, habladuría			gossiping	Speech and language	AUDITORY
1765		de golpe, a golpes, ruido de impacto, de explosión			impact, explosion	Basic actions and technology	AUDITORY
1766		ruido de incendio, de lluvia que se acerca, de correntada de agua, de amontonar, de remar			fire, water	The physical world	AUDITORY
1767		ruido suave (de brisa)			soft breeze	The physical world	AUDITORY
1768		ruido fuerte (de viento)			loud wind	The physical world	AUDITORY
1769		ruido estridente (de carretas, zapatos…)			loud noise	Basic actions and technology	AUDITORY
1770		ruido de disparar la ballesta			firing the crossbow	Warfare and hunting	AUDITORY
1771		crujir los dientes (los sajinos); crujir el pico (ave tapirum), chisporroteo, chasqueteo, crepitación, crujida			animal grinding teeth or beak	Animals	AUDITORY
1772		voz del pavo kuyu			bird species	Animals	AUDITORY
1773		ruido de entrechocarse (ramas, piedras, árboles)			clashing	Basic actions and technology	AUDITORY
1774		voz de cuervo yákakua			bird species	Animals	AUDITORY
1775		ruido de alisar			smoothing	Basic actions and technology	AUDITORY
1776		ruido de golpear con algo			to hit	Basic actions and technology	AUDITORY
1777		voz del ave takáikit			bird species	Animals	AUDITORY
1778		palpitación			palpitation	The body	AUDITORY
1779		sonido del tambor			drum	Basic actions and technology	AUDITORY
1780		ruido de rodar			rolling	Motion	AUDITORY, VISUAL
1781		bramido del sajino esákar, del trueno lejano, del temblor y del viento			peccary, thunder	Animals	AUDITORY
1782		zumbido del zancudo manchu			buzz of mosquito	Animals	AUDITORY
1783		voz del ave tiwia			bird species	Animals	AUDITORY
1784		voz del avecilla páantam			bird species	Animals	AUDITORY
1785		voz del ave chuchukía			bird species	Animals	AUDITORY
1786		voz para llamar las gallinas			calling hens	Animals	AUDITORY
1787		voz del picaflor jémpemur			hummingbird species	Animals	AUDITORY
1788		voz del insecto tampuch’			insect species	Animals	AUDITORY
1789		voz de la capibara unkúmia			capybara	Animals	AUDITORY
1790		ruido de golpecitos, de vibraciones			tapping noise	Basic actions and technology	AUDITORY
1791		voz del ave au			bird species	Animals	AUDITORY
1792		voz de la lechuza auju			bird species	Animals	AUDITORY
1793		voz del avecilla tirákam			bird species	Animals	AUDITORY
1794		voz del ave tiúkcha			bird species	Animals	AUDITORY
1795		voz de la ardilla wíchink			squirrel species	Animals	AUDITORY
1796		ruido de botar lejos, de escupir lejos, saltar lejos, enfilar			far away movement	Motion	AUDITORY
1797		cacareo de las gallinas			clucking of hens	Animals	AUDITORY
1798		ruido de algo que cae en el agua			falling into the water	Motion	AUDITORY
1799		voz la lechuza sukuyá			bird species	Animals	AUDITORY
1800		golpes de manos o pies en algo			blows of hands or feet	Basic actions and technology	AUDITORY
1801		ruido de pasar al interior de algo, del meter con presión, del abrirse paso			passing inside something with force	Motion	VISUAL, AUDITORY
1802		ruido de algo que cae en la tierra			falling to the ground	Motion	AUDITORY
1803		ruido del viento fuerte y de las llamas de un incendio			strong wind, fire	The physical world	AUDITORY
1804		voz del trompetero chiwia			bird species	Animals	AUDITORY
1805		ruido de un motor			engine	Basic actions and technology	AUDITORY
1806		voz del puerco y de la anaconda, gruñido			pig	Animals	AUDITORY
1807		crujido de los dientes (de los animales)			gnashing of teeth (of animals)	Animals	AUDITORY
1808		golpes de pico (del pájaro carpintero y de la pava aunts)			beak taps	Animals	AUDITORY
1809		voz de la palomita shimpia			bird species	Animals	AUDITORY
1810		ruido de traspasar			passing through	Motion	VISUAL, AUDITORY
1811		voz de la codorniz puush			bird species	Animals	AUDITORY
1812		chillido de dolor de un animal			animal's cry of pain	Animals	AUDITORY
1813		voz del búho uchich’-ampush			bird species	Animals	AUDITORY
1814		el fluctuar (del agua)			water movement	The physical world	VISUAL, AUDITORY
1815		mugido (ganado vacuno, capibara)			moo	Animals	AUDITORY
1816		voz de la zancuda unturu			bird species	Animals	AUDITORY
1817		ruido de chorrear, gotear, desparramarse (líquidos)			dripping liquid	The physical world	AUDITORY
1818		voz del ave sunkárkut (variedad de bugla)			bird species	Animals	AUDITORY
1819		voz del ave kuchachu			bird species	Animals	AUDITORY
1820		ruido de viento, temblor, cascada			wind noise, tremor, waterfall	The physical world	AUDITORY
1821		bramidos			roar	Animals	AUDITORY
1822		llanto colectivo, alboroto			collective weeping, uproar	Emotion and values	AUDITORY
1823		gruñido de la anaconda herida			grunt of anaconda	Animals	AUDITORY
1824		voz de la palomita murá-púush			bird species	Animals	AUDITORY
1825		voz de la paloma yápankam			bird species	Animals	AUDITORY
1826		ave makantuá (agüero de muerte)			bird species bad omen call	Animals	AUDITORY
1827		voz del ave awachá			bird species	Animals	AUDITORY
1828		voz de la lora awarmas			parrot species	Animals	AUDITORY
1829		voz del ave wakats			bird species	Animals	AUDITORY
1830		llanto de bebé			baby crying	Emotion and values	AUDITORY
1831		con vibración			vibration	Motion	VISUAL
1832		voz del ave yasank (una sola hace voz de muchas)			bird species	Animals	AUDITORY
1833		zumbido (del picaflor, moscos)			buzzing	Animals	AUDITORY
1834		ruido de algo che choca en el suelo			hitting the ground	Basic actions and technology	AUDITORY
1835		voz y movimiento de la anaconda agresiva			anaconda	Animals	AUDITORY, VISUAL
1836		voz del pájaro carpintero cuando anuncia la presencia de una serpiente			woodpecker call	Animals	AUDITORY
1837		estar adormecida o entumecida (una extremidad)			numb limb	The body	INTERNAL STATE
1838		voz del ave atatao			bird species	Animals	AUDITORY
1839		sonido que tradicionalmente se atribuía a "katsivorerini" cuando veía a alguien, cuando se paraba en algún lugar, etc.		"katsivorerini" es un demonio de los cuentos tradicionales.	demon sound	Religion and belief	AUDITORY
1840		castañear los dientes			teeth chatter	The body	AUDITORY
1841		voz del pavo			bird species	Animals	AUDITORY
1842		voz del camungo (especie de ave)			bird species	Animals	AUDITORY
1843		voz del tucán chaenti			toucan species	Animals	AUDITORY
1844		canto del pájaro chanchati			bird species	Animals	AUDITORY
1845		sonido que acompaña a la acción "chovuriatagantsi" (pasar agua por el pico, p. ej., un pato, para buscar comida)			duck passing beak through water	Animals	AUDITORY
1846		señala larga distancia o el paso del tiempo			long distance, long time	Spatial relations	VISUAL
1847		acción de seguir yendo lejos (p. ej. ir flotando hasta lejos río abajo)			go far	Motion	VISUAL
1848		acción de gritar fuertemente			shouting	Speech and language	AUDITORY
1849		acción de lloriquear por causa de dolor			whimpering	Emotion and values	AUDITORY
1850		ja, ja, ja ja, ja, ja			laughter	Emotion and values	AUDITORY
1851		acción de chillar (muchos monos maquisapas)			spider monkey screeching	Animals	AUDITORY
1852		sonido de la acción de morder algo medio duro o fibroso			biting something hard or fibrous	Food and drink	AUDITORY, TACTILE
1853		acción de movier la cabeza de un lado a otro en señal de negación			shaking head	The body, Motion	VISUAL
1854		acción de revolverse el estómago			stomach churning	The body	INTERNAL STATE
1855		gritos de un mono frailecito al ser flechado			monkey being shot with an arrow	Animals	AUDITORY
1856		acción de seguir caminando			walking	Motion	VISUAL
1857		grito del ave nárani			bird species	Animals	AUDITORY
1858		canto de la chicharra jarinti			cicada species	Animals	AUDITORY
1859		canto de la chicharra jerinti			cicada species	Animals	AUDITORY
1860		producir un sonido sordo (p. ej. cayéndose al suelo)			dull sound	Basic actions and technology	AUDITORY
1861		sonido que representa a alguien levantando la voz o gritando de cólera			shouting	Emotion and values	AUDITORY
1862		acción de llorar fuerte o desconsoladamente			crying loudly	Emotion and values	AUDITORY
1863		la voz o gruñido del jaguar cuando está caminando de noche			jaguar growl	Animals	AUDITORY
1864		ave del ave trompetero al amanecer			bird species	Animals	AUDITORY
1865		sonido fuerte del río (especialmente cuando está creciendo)			river	The physical world	AUDITORY
1866		(1) zumbido, sonido producido por viento o lluvia fuerte, un incendio grande, una multitud de instectos volando, la barriga sonando de hambre, etc.			buzzing	The physical world	AUDITORY
1867		(2) acción de ir rápidamente (p. ej. deslizándose junto con algo).			moving quickly	Motion	VISUAL
1868		(3) canto del pájaro panari.			bird species	Animals	AUDITORY
1869		rugir		Mayormente se refiere al rugir del jaguar devorador de hombres	roar	Animals	AUDITORY
1870		voz del demonio "segámai"			demon voice	Religion and belief	AUDITORY
1871		voz o gruñido fuerte del jaguar (p. ej. cuando está molesto)			jaguar growl	Animals	AUDITORY
1872		ladrido de un perro			bark	Animals	AUDITORY
1873		canto del pájaro kovuva			bird species	Animals	AUDITORY
1874		canto de la chicharra kentori			cicada species	Animals	AUDITORY
1875		acción de romperse en el nudo (p. ej. un tallo de bambú)			plant breaking at the node	Agriculture and vegetation	AUDITORY
1876		canto del pájaro keruto			bird species	Animals	AUDITORY
1877		acción de destrozar o chancar una planta o arbusto en la guía [?] o cerca de ella			crushing a plant	Agriculture and vegetation	AUDITORY
1878		voz del machín blanco kutyaemperi			monkey species	Animals	AUDITORY
1879		voz del mono negro			monkey species	Animals	AUDITORY
1880		acción de frotar contra algo			rubbing against something	Basic actions and technology	AUDITORY
1881		sonido producido por puquear (personas, jaguares); voz de la perdiz		PUQUEAR: producir sonidos soplando las dos manos semijuntas	whistle with cupped hands	Basic actions and technology	AUDITORY
1882		sonido de una canoa chocándose contra algo, o de algo que está siendo metido bruscamente en ella			crashing	Basic actions and technology	AUDITORY
1883		acción de un mono maquisapa al saltar en las ramas			monkey jumping through branches	Animals	VISUAL, AUDITORY
1884		voz del loro kíntaro			parrot species	Animals	AUDITORY
1885		canto del pájaro korátsiti			bird species	Animals	AUDITORY
