ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish,Portuguese,Simplified,SemanticField,SensoryCategory
1466,rocks hitting each other,,,rocas golpeándose unas con otras,,mixture of sound and overall gestalt,,Motion
1467,sand trickling,,,arena escurriendo,,mixture of sound and overall gestalt,,Motion
1468,scraping metal,,,arañar/raspar metal,,mixture of sound and overall gestalt,,Basic actions and technology
1469,"pop balloon, rifle, testicles, oranges",,,"reventar globo, rifle, testículos, naranjas",,mixture of sound and overall gestalt,,Basic actions and technology
1470,splatter egg/mud,,,salpicar huevos/barro,,mixture of sound and overall gestalt,,Basic actions and technology
1471,walking in mud,,,caminar en el barro,,mixture of sound and overall gestalt,,Motion
1472,walking in water with boots on,,,caminar en el agua con las botas puestas,,mixture of sound and overall gestalt,,Motion
1473,walking on something hard with heels,,,caminar sobre algo duro con tacos,,mixture of sound and overall gestalt,,Motion
1474,grease sizzling,,,grasa al freírse/cocinarse,,mixture of sound and overall gestalt,,Food and drink
1476,small object skittering,,,objeto pequeño escabulléndose,,mixture of sound and overall gestalt,,Motion
1477,something jumping around,,,algo dando brincos,,,,Motion
1478,giant firefly crashing down through the forest canopy,,,luciérnaga gigante bajando estrepitosamente a través de la copa de los árboles,,Extraído de una narrativa.,,Motion
1479,swirl,,,algo dando vueltas dentro de un remolino,,Extraído de una narrativa.,,Motion
1480,slither,,,deslizarse,,Extraído de una narrativa.,,Motion
1481,small stick snapping,,,romperse un palo pequeño,,,,Basic actions and technology
1482,medium (1-3 inches in diameter) stick snapping,,,romperse un palo mediano (1-3 pulgadas de diámetro),,,,Basic actions and technology
1483,large branch/bone snapping,,,romperse una rama grande/hueso,,,,Basic actions and technology
1484,spread as a bird spreading its wings,,,"extender, como cuando un ave extiende las alas",,,,Animals
1485,spread as spread fingers or boards in a fence,,,"extender, como cuando se separan los dedos o las tablas de un cerco",,,,Spatial relations
1486,spread unevenly as with damaged/frayed wings,,,"extender desigualmente, como en las alas dañadas/desgastadas",,,,Spatial relations
1487,"swelling of a compact mass, such as a tight wad of cotton that is suddenly released, or insects swarming",,,"hincharse una masa compacta, como una bolita compacta de algodón que es soltaba rápidamente, o insectos formando un enjambre",,,,"Spatial relations, Animals"
1488,waving arms in the air,,,agitar los brazos en el aire,,,,Basic actions and technology
1489,clatter to the ground,,,caerse estrepitosamente al suelo,,,,Motion
1490,boiling,,,algo hirviendo,,,,Food and drink
1491,laughter,,,risa,,,,Emotion and values
1492,dog barking,,,perro ladrando,,,,Animals
1493,threatening cry,,,grito amenazante,,,,Speech and language
1494,happening easily and quickly,,,ocurrir fácil y rápidamente,,,,OTHER
1495,falling down,,,caer,,,,Motion
1496,bird croaking,,,ave graznando,,,,Animals
1497,desire and lust,,,deseo y lujuria,,,,Emotion and values
1498,slowly falling down,,,caer lentamente,,,,Motion
1499,falling down to break,,,caerse y romperse,,,,Motion
1500,tree falling down,,,árbol cayéndose,,,,"Agriculture and vegetation, Motion"
1501,sth. falling into water,,,algo cayéndose al agua,,,,Motion
1502,sizzling,,,sonido de freír algo,,La última sílaba de la reduplicación tiene vocal larga.,,Food and drink
1503,sliding down,,,resbalar hacia abajo,,,,Motion
1504,falling down after sliding,,,caerse después de resbalar,,,,Motion
1505,applying magic,,,aplicar magia,,,,Religion and belief
1506,child crying,,,niño/a llorando,,,,Emotion and values
1507,firing of gun,,,disparo de arma de fuego,,[T]he forms vary somewhat from speaker to speaker. There does not seem to be consistency in reproducing the sounds suggested by a particular event or thing,,Warfare and hunting
1508,thumping,,,golpear,,,,Basic actions and technology
1509,howling,,,aullar,,,,Animals
1511,pulling off,,,jalar,,,,Basic actions and technology
1512,laughing,,,reír,,,,Emotion and values
1513,splitting open,,,abrir algo partiéndolo,,,,Basic actions and technology
1514,clap,,,aplaudir,,,,Basic actions and technology
1516,tight,,,apretado,,,,Sense perception
1517,crow,,,cacarear,,,,Animals
1518,die,,,morir,,,,The body
1519,drag,,,arrastrar,,,,Motion
1520,rock (side to side),,,mecer de un lado a otro,,,,Motion
1521,to come out into clearing,,,salir a un lugar despejado,,,,Motion
1522,slip loose,,,¿soltarse/desprenderse?,,,,Basic actions and technology
1523,lie on ground,,,yacer en el suelo,,,,Spatial relations
1524,to go in a line,,,ir en fila,,,,Spatial relations
1525,up,,,hacia arriba,,"Se repite en el ejemplo: say, say, say, say [...].",,Motion
1526,become light,,,iluminarse,,,,The physical world
1527,become dark,,,oscurecerse,,,,The physical world
1528,set down,,,¿bajar algo/colocar algo abajo?,,,,Motion
1529,flash,,,destello,,,,Sense perception
1530,slip,,,resbalarse,,,,Basic actions and technology
1531,splash,,,¡splash! / caer en el agua / salpicar?,,,,Motion
1532,break (slender object),,,romper (objeto delgado),,,,Basic actions and technology
1533,,,,voz del mono washi,,,,Animals
1534,,,,gritos de la gallina apresada,,,,Animals
1535,,,,voz del faisán (aunts) espantado,,,,Animals
1536,,,,voz del jefe de los monos washi,,,,Animals
1537,,,,"voz del ave sunka, del sapo shanká y de la culebra wánip",,,,Animals
1538,,,,"quejidos, sollozos",,,,Emotion and values
1539,,,,voz del ave seuk,,,,Animals
1540,,,,voz del ave iísip’,,,,Animals
1541,,,,voz de la lemucha (káshai) y de la capibara (unkúmia),,,,Animals
1542,,,,voz de la lagartija náitiaksumpa,,,,Animals
1543,,,,voz del ave tayu,,,,Animals
1544,,,,chillido del perro,,,,Animals
1545,,,,estornudo (de las personas),,,,The body
1546,,,,ladrido,,La última vocal de la reduplicación se alarga.,,Animals
1547,,,,"pum, de golpe",,,,Basic actions and technology
1548,,,,voz del mono ujúkam,,,,Animals
1549,,,,voz del sajino yankípik; jadeo,,,,Animals
1550,,,,voz del mono jéekam,,,,Animals
1551,,,,"grito ritual para alejar a los malos espíritu emésak, durante la celebración de la tsantsa.",,,,"Religion and belief, Speech and language"
1552,,,,jadeo,,,,The body
1553,,,,voz del ave tseréchink’,,,,Animals
1554,,,,voz de las aves tsánti y kintiachinki,,,,Animals
1555,,,,voz del ave pitsa,,,,Animals
1556,,,,voz del trompetero,,,,Animals
1557,,,,voz de los sapos juátᵘ y tseátᵘ,,,,Animals
1558,,,,voz del pavo kuyu y del avecilla maitiún,,,,Animals
1559,,,,"silbido de una flecha, o bala",,,,Warfare and hunting
1560,,,,carcajada femenina,,,,Emotion and values
1561,,,,voz de la paloma paúm,,,,Animals
1562,,,,ruido intestinal,,,,The body
1563,,,,rugido (del tigre),,,,Animals
1564,,,,sonido de la flauta,,,,Basic actions and technology
1565,,,,gruñido (del sajino bravo),,,,Animals
1566,,,,gruñido (del sahino al escaparse),,,,Animals
1567,,,,borbolleo (del agua que hierve),,,,Food and drink
1568,,,,voz del ave yúkuru,,,,Animals
1569,,,,voz del búho yawá-ampush; voz para alejar las fieras,,,,Animals
1570,,,,voz de la tórtola yámpits,,,,Animals
1571,,,,voz del paují (mashu),,,,Animals
1572,,,,voz del ave de rapiña kaúta,,,,Animals
1573,,,,cacareo (de la gallina),,,,Animals
1574,,,,ruido de algo que choca contra las ramas de las plantas,,,,Agriculture and vegetation
1575,,,,crujir (del árbol que va a caer),,,,Agriculture and vegetation
1576,,,,voz del ave panka,,,,Animals
1577,,,,"crujido (del árbol que cae, o sacudido por el viento)",,,,Agriculture and vegetation
1578,,,,"crujido (de las quinchas, del árbol que cae, o sacudido por el viento)",,,,Agriculture and vegetation
1579,,,,crujido (al caerse un árbol),,,,Agriculture and vegetation
1580,,,,voz del sapo purusham,,,,Animals
1581,,,,voz del sapo kaka y del ave kakárpats,,,,Animals
1582,,,,voz del oso (bravo),,,,Animals
1583,,,,crac (ruido de quebrar),,,,Basic actions and technology
1584,,,,voz del ave kamukam,,,,Animals
1585,,,,voz del gallo en los peligros,,,,Animals
1586,,,,voz del sapo karákras,,,,Animals
1587,,,,voz del ave kakárpats,,,,Animals
1588,,,,voz del sapo takáshᵘ,,,,Animals
1589,,,,voz del ave aúnts (faisán),,,,Animals
1590,,,,voz del ave kérua,,,,Animals
1591,,,,tac (ruido de caer),,,,Motion
1592,,,,voz del ave káawia,,,,Animals
1593,,,,ruido de masticar,,,,"Food and drink, The body"
1594,,,,voz del ave kíruancham,,,,Animals
1595,,,,voz del ave wikiúakiua,,,,Animals
1596,,,,"arre, vete, lárgate! (voz para alejar animales)",,Parece interjección.,,Animals
1597,,,,voz para alejar a los perros,,,,Animals
1598,,,,voz para alejar las aves,,,,Animals
1599,,,,voz para alejar las fieras,,,,Animals
1600,,,,ruido (de huesos),,,,The body
1601,,,,voz del sapo suya,,,,Animals
1602,,,,voz del sapo kiámp,,,,Animals
1603,,,,voz del sapito kirísip’,,,,Animals
1604,,,,voz del sapo kirúpash,,,,Animals
1605,,,,tos,,,,The body
1606,,,,voz del sapo puách’,,,,Animals
1607,,,,voz del sapo kua̠,,,,Animals
1608,,,,"ruido de rajar, quebrar",,,,Basic actions and technology
1609,,,,"grito, lloro (a gritos)",,,,Emotion and values
1610,,,,voz del ave paínkia-pinínch’,,,,Animals
1611,,,,voz del ave kantará,,,,Animals
1612,,,,voz del flautero,,,,Animals
1613,,,,voz del ave yúkupu y kupi,,,,Animals
1614,,,,ronquidos,,,,The body
1615,,,,ronquido (al despertarse improvisamente),,,,The body
1616,,,,voz de la guatusa,,,,Animals
1617,,,,ruido de escupir,,,,The body
1618,,,,voz del amich’ y del trompetero chiwia al ser alcanzados,,,,Animals
1619,,,,ruido de talar,,,,Agriculture and vegetation
1620,,,,"con un golpe, de improviso",,,,Basic actions and technology
1621,,,,voz del ave kute,,,,Animals
1622,,,,voz del gato; berrido,,,,Animals
1623,,,,voz para llamar el gato,,Parece interjección,,Animals
1624,,,,ruido de la boca al comer,,,,"Food and drink, The body"
1625,,,,voz del ave shiík,,,,Animals
1626,,,,voz del sapo muruímias,,,,Animals
1627,,,,voz del sapo tentémpᵘ,,,,Animals
1628,,,,"gruñidos, ruido de morder huesos",,,,"Speech and language, Basic actions and technology"
1629,,,,canto del gallo montés ayáchui,,,,Animals
1630,,,,golpe,,,,Basic actions and technology
1631,,,,ruido de un golpe,,,,Basic actions and technology
1632,,,,voz del sapo paí; listo listo!,,,,Animals
1633,,,,"pum, golpe, de golpe, a golpes",,,,Basic actions and technology
1634,,,,"hacer palmas, golpear las manos",,,,Basic actions and technology
1635,,,,"poner uno encima de otro, sobreponer algo",,,,Spatial relations
1636,,,,"brincar, saltar encima (de una rama a otra), chocar (sobre las ramas y las hojas)",,,,Motion
1637,,,,golpe suave,,,,Basic actions and technology
1638,,,,voz del ave wakán’,,,,Animals
1639,,,,voz del pájaro carpintero tatásham,,,,Animals
1640,,,,voz del tapir,,,,Animals
1641,,,,voz del ave pirísit,,,,Animals
1642,,,,"golpe suave (del hacha, del machete y de las teclas de una máquina de escribir)",,,,Basic actions and technology
1643,,,,muchos golpes seguidos,,,,Basic actions and technology
1644,,,,voz del ave úshap,,,,Animals
1645,,,,voz del mono tséepai,,,,Animals
1646,,,,voz del ave piwi,,,,Animals
1647,,,,voz del ave puúr y del sapo puínt; canción de cuna,,,,Animals
1648,,,,voz del ave tushim,,,,Animals
1649,,,,"ruido de rajarse, romperse en pedazos (hierros, vasijas…)",,,,Basic actions and technology
1650,,,,ruido (fuertes golpes; truenos),,,,Sense perception
1651,,,,ruido fuerte de un trueno que va alejándose,,,,The physical world
1652,,,,borboteo (de una vertiente),,,,The physical world
1653,,,,ruido de clavar (en el suelo),,,,Basic actions and technology
1654,,,,ruído de zampullir,,,,Motion
1655,,,,voz del mono yakum (mono coto),,,,Animals
1656,,,,"ruido (de raspar, arrancar, morder, carcomer)",,,,Basic actions and technology
1657,,,,ruido de arrancar,,,,Basic actions and technology
1658,,,,"voz de los loros kawá, achu kawá y shámak",,,,Animals
1659,,,,ruido de rozar con algo,,,,Basic actions and technology
1660,,,,"ruido (de arrancarse, o soltarse)",,,,Basic actions and technology
1661,,,,voz de los pichones buglas hambrientos,,,,Animals
1662,,,,sonido al sacudir el hisopo sasankᵘ; al deslizarse en el agua,,,,Basic actions and technology
1663,,,,"zumbido (de los enjambres de avispas, o del batir de alas)",,,,Animals
1664,,,,voz del ave nunkankit y de la culebra secha-napi,,,,Animals
1665,,,,voz del azulejo secha,,,,Animals
1666,,,,voz del ave tsanke (bugla),,,,Animals
1667,,,,ruido (de motores),,,,Basic actions and technology
1668,,,,voz del buho úunt-ampush,,,,Animals
1669,,,,"ronquido, soplo, respiro afanoso",,,,The body
1670,,,,voz del mono sunkamat,,,,Animals
1671,,,,voz del ave sunkarkut (bugla),,,,Animals
1672,,,,aleteo,,,,Animals
1673,,,,voz del oso hormiguero wishíwshi,,,,Animals
1674,,,,soplo,,,,Basic actions and technology
1675,,,,llanto del bebé; voz del cuervo shanáshnia,,,,Emotion and values
1676,,,,voz del loro shámak,,,,Animals
1677,,,,"ruido de un chaparrón, del aguacero",,,,The physical world
1678,,,,ruido (de algo que cae),,,,Motion
1679,,,,"ruido (de meter, de rozar)",,,,Motion
1680,,,,"llorar del pollo, voz del loro shiápᵘ",,,,Animals
1681,,,,voz del grillo chúnchup’,,,,Animals
1682,,,,voz del grillo tinkishap’,,,,Animals
1683,,,,voz del periquito nuínuí,,,,Animals
1684,,,,grito (para llamar al perro lejano),,Parece interjección.,,Animals
1685,,,,silbido,,,,Basic actions and technology
1686,,,,voz del ave acuática piámpia y de la golondrina shuírpip,,,,Animals
1687,,,,voz de la perdiz waa,,,,Animals
1688,,,,derrame,,,,The physical world
1689,,,,ruido de engullir,,,,"Food and drink, The body"
1690,,,,voz del tapir y del caballo,,,,Animals
1691,,,,voz del mono tsere (jáanchᵘ),,,,Animals
1692,,,,voz de la perdiz wankesh,,,,Animals
1693,,,,sonido de asentar,,,,Motion
1694,,,,gritos del mono washi,,,,Animals
1695,,,,voz de la lora pushúkawá,,,,Animals
1696,,,,voz de los pollitos al traerles la comida,,,,Animals
1697,,,,ruido de algo que cae en el lodo,,,,Motion
1698,,,,golpe (de choque),,,,Basic actions and technology
1699,,,,voz del ave chanke,,,,Animals
1700,,,,"bulla, alboroto",,,,Speech and language
1701,,,,voz del ave charakat (martín pescador),,,,Animals
1702,,,,voz del mono chuu,,,,Animals
1703,,,,voz del ave chaasem,,,,Animals
1704,,,,voz de buen agüero del ave ikiánchim,,,,Animals
1705,,,,voz del mono washi asustado,,,,Animals
1706,,,,voz del mirlo yúkupu,,,,Animals
1707,,,,voz del ave chiankái,,,,Animals
1708,,,,"llanto, quejido, chillido",,,,Emotion and values
1709,,,,acción de abrir la boca,,,,The body
1710,,,,"silbido (del oído, de la leña verde en el fuego, de algo caliente al contacto con algo frío); voz del grillo tíinchup’",,,,Sense perception
1711,,,,voz de mal agüero del ave ikiánchim,,,,Animals
1712,,,,voz del zorro míkiua (voz de mal agüero),,,,Animals
1713,,,,"crac (ruido al destacarse, o al desgajarse, una rama, o un miembro del cuerpo)",,,,Sense perception
1714,,,,bulla (lloro),,,,Emotion and values
1715,,,,llanto del bebé,,,,Emotion and values
1716,,,,voz del perico chiimp,,,,Animals
1717,,,,voz del sapito chirímius,,,,Animals
1718,,,,voz del avecilla kapantin-chinki,,,,Animals
1719,,,,voz del ave chuwi (bugla),,,,Animals
1720,,,,estornudo (de los animales),,,,Animals
1721,,,,voz del ave chuíkit,,,,Animals
1722,,,,ruido de sacar los pies del barro,,,,The body
1723,,,,"ruido de meter, clavar, martillar, derrumbar",,,,Basic actions and technology
1724,,,,"tac, pinchazo",,,,Basic actions and technology
1725,,,,voz del ave tsanke,,,,Animals
1726,,,,"sacudida (del temblor, del viento…)",,,,Motion
1727,,,,"voz agresiva del faisán (aunts), del perro y del tigre",,,,Animals
1728,,,,ruido de los pedos; ruido de carcomer,,,,The body
1729,,,,crujido (de vainas que se abren),,,,Agriculture and vegetation
1730,,,,ruido de descascarar,,,,Basic actions and technology
1731,,,,"zas, roce, a tajos",,,,Basic actions and technology
1732,,,,"Voz del monito tséem o tsenkush’, del ave tseátik y del lorito tseap; chillido del puerco.",,,,Animals
1733,,,,"gorjeos, trinos",,,,Animals
1734,,,,"voz del colibrí, del avecita juú-chínki y del avecilla makákit",,,,Animals
1735,,,,relampagueo,,,,The physical world
1736,,,,ruido de cascabeles,,,,Basic actions and technology
1737,,,,"ruido de motores, de algo que rueda, zumbido, tañido",,,,Basic actions and technology
1738,,,,voz del ave kirus,,,,Animals
1739,,,,voz del murciélago jéencham y del perico chinimp’,,,,Animals
1740,,,,sonido de la guitarra,,,,Basic actions and technology
1741,,,,voz del ave tsérenma,,,,Animals
1742,,,,voz del ave tatsémai,,,,Animals
1743,,,,"chillidos, zumbidos (de aves e insectos)",,,,Animals
1744,,,,voz del lorito tseap,,,,Animals
1745,,,,"ruido de rasgar (tela, papel)",,,,Basic actions and technology
1746,,,,voz de los ratones,,,,Animals
1747,,,,voz de la ardilla (kunampᵉ),,,,Animals
1748,,,,ruido de oleaje (de la creciente),,,,The physical world
1749,,,,ruido (de caer en el agua),,,,Motion
1750,,,,absorbencia,,,,Basic actions and technology
1751,,,,voz del ave yamatam,,,,Animals
1752,,,,voz para llamar al cuchucho,,,,Animals
1753,,,,voz del ave taanchiat,,,,Animals
1754,,,,voz del ave táwai,,,,Animals
1755,,,,"cuchicheo, habladuría",,,,Speech and language
1756,,,,"de golpe, a golpes, ruido de impacto, de explosión",,,,Basic actions and technology
1757,,,,"ruido de incendio, de lluvia que se acerca, de correntada de agua, de amontonar, de remar",,,,The physical world
1758,,,,ruido suave (de brisa),,,,The physical world
1759,,,,ruido fuerte (de viento),,,,The physical world
1760,,,,"ruido estridente (de carretas, zapatos…)",,,,Basic actions and technology
1761,,,,ruido de disparar la ballesta,,,,Warfare and hunting
1762,,,,"crujir los dientes (los sajinos); crujir el pico (ave tapirum), chisporroteo, chasqueteo, crepitación, crujida",,,,Animals
1763,,,,voz del pavo kuyu,,,,Animals
1764,,,,"ruido de entrechocarse (ramas, piedras, árboles)",,,,Basic actions and technology
1765,,,,voz de cuervo yákakua,,,,Animals
1766,,,,ruido de alisar,,,,Basic actions and technology
1767,,,,ruido de golpear con algo,,,,Basic actions and technology
1768,,,,voz del ave takáikit,,,,Animals
1769,,,,palpitación,,,,The body
1770,,,,sonido del tambor,,,,Basic actions and technology
1771,,,,ruido de rodar,,,,Motion
1772,,,,"bramido del sajino esákar, del trueno lejano, del temblor y del viento",,,,Animals
1773,,,,zumbido del zancudo manchu,,,,Animals
1774,,,,voz del ave tiwia,,,,Animals
1775,,,,voz del avecilla páantam,,,,Animals
1776,,,,voz del ave chuchukía,,,,Animals
1777,,,,voz para llamar las gallinas,,,,Animals
1778,,,,voz del picaflor jémpemur,,,,Animals
1779,,,,voz del insecto tampuch’,,,,Animals
1780,,,,voz de la capibara unkúmia,,,,Animals
1781,,,,"ruido de golpecitos, de vibraciones",,,,Basic actions and technology
1782,,,,voz del ave au,,,,Animals
1783,,,,voz de la lechuza auju,,,,Animals
1784,,,,voz del avecilla tirákam,,,,Animals
1785,,,,voz del ave tiúkcha,,,,Animals
1786,,,,voz de la ardilla wíchink,,,,Animals
1787,,,,"ruido de botar lejos, de escupir lejos, saltar lejos, enfilar",,,,Motion
1788,,,,cacareo de las gallinas,,,,Animals
1789,,,,ruido de algo que cae en el agua,,,,Motion
1790,,,,voz la lechuza sukuyá,,,,Animals
1791,,,,golpes de manos o pies en algo,,,,Basic actions and technology
1792,,,,"ruido de pasar al interior de algo, del meter con presión, del abrirse paso",,,,Motion
1793,,,,ruido de algo que cae en la tierra,,,,Motion
1794,,,,ruido del viento fuerte y de las llamas de un incendio,,,,The physical world
1795,,,,voz del trompetero chiwia,,,,Animals
1796,,,,ruido de un motor,,,,Basic actions and technology
1797,,,,"voz del puerco y de la anaconda, gruñido",,,,Animals
1798,,,,crujido de los dientes (de los animales),,,,Animals
1799,,,,golpes de pico (del pájaro carpintero y de la pava aunts),,,,Animals
1800,,,,voz de la palomita shimpia,,,,Animals
1801,,,,ruido de traspasar,,,,Motion
1802,,,,voz de la codorniz puush,,,,Animals
1803,,,,chillido de dolor de un animal,,,,Animals
1804,,,,voz del búho uchich’-ampush,,,,Animals
1805,,,,el fluctuar (del agua),,,,The physical world
1806,,,,"mugido (ganado vacuno, capibara)",,,,Animals
1807,,,,voz de la zancuda unturu,,,,Animals
1808,,,,"ruido de chorrear, gotear, desparramarse (líquidos)",,,,The physical world
1809,,,,voz del ave sunkárkut (variedad de bugla),,,,Animals
1810,,,,voz del ave kuchachu,,,,Animals
1811,,,,"ruido de viento, temblor, cascada",,,,The physical world
1812,,,,bramidos,,,,Animals
1813,,,,"llanto colectivo, alboroto",,,,Emotion and values
1814,,,,gruñido de la anaconda herida,,,,Animals
1815,,,,voz de la palomita murá-púush,,,,Animals
1816,,,,voz de la paloma yápankam,,,,Animals
1817,,,,ave makantuá (agüero de muerte),,,,Animals
1818,,,,voz del ave awachá,,,,Animals
1819,,,,voz de la lora awarmas,,,,Animals
1820,,,,voz del ave wakats,,,,Animals
1821,,,,llanto de bebé,,,,Emotion and values
1822,,,,con vibración,,,,Motion
1823,,,,voz del ave yasank (una sola hace voz de muchas),,,,Animals
1824,,,,"zumbido (del picaflor, moscos)",,,,Animals
1825,,,,ruido de algo che choca en el suelo,,,,Basic actions and technology
1826,,,,voz y movimiento de la anaconda agresiva,,,,Animals
1827,,,,voz del pájaro carpintero cuando anuncia la presencia de una serpiente,,,,Animals
1828,,,,estar adormecida o entumecida (una extremidad),,,,The body
1829,,,,voz del ave atatao,,,,Animals
1830,,,,"sonido que tradicionalmente se atribuía a katsivorerini cuando veía a alguien, cuando se paraba en algún lugar, etc.",,katsivorerini es un demonio de los cuentos tradicionales.,,Religion and belief
1831,,,,castañear los dientes,,,,The body
1832,,,,voz del pavo,,,,Animals
1833,,,,voz del camungo (especie de ave),,,,Animals
1834,,,,voz del tucán chaenti,,,,Animals
1835,,,,canto del pájaro chanchati,,,,Animals
1836,,,,"sonido que acompaña a la acción chovuriatagantsi (pasar agua por el pico, p. ej., un pato, para buscar comida)",,,,Animals
1837,,,,señala larga distancia o el paso del tiempo,,,,Spatial relations
1838,,,,acción de seguir yendo lejos (p. ej. ir flotando hasta lejos río abajo),,,,Motion
1839,,,,acción de gritar fuertemente,,,,Speech and language
1840,,,,acción de lloriquear por causa de dolor,,,,Emotion and values
1841,,,,"ja, ja, ja ja, ja, ja",,,,Emotion and values
1842,,,,acción de chillar (muchos monos maquisapas),,,,Animals
1843,,,,sonido de la acción de morder algo medio duro o fibroso,,,,Food and drink
1844,,,,acción de movier la cabeza de un lado a otro en señal de negación,,,,"The body, Motion"
1845,,,,acción de revolverse el estómago,,,,The body
1846,,,,gritos de un mono frailecito al ser flechado,,,,Animals
1847,,,,acción de seguir caminando,,,,Motion
1848,,,,grito del ave nárani,,,,Animals
1849,,,,canto de la chicharra jarinti,,,,Animals
1850,,,,canto de la chicharra jerinti,,,,Animals
1851,,,,producir un sonido sordo (p. ej. cayéndose al suelo),,,,Basic actions and technology
1852,,,,sonido que representa a alguien levantando la voz o gritando de cólera,,,,Emotion and values
1853,,,,acción de llorar fuerte o desconsoladamente,,,,Emotion and values
1854,,,,la voz o gruñido del jaguar cuando está caminando de noche,,,,Animals
1855,,,,ave del ave trompetero al amanecer,,,,Animals
1856,,,,sonido fuerte del río (especialmente cuando está creciendo),,,,The physical world
1857,,,,"(1) zumbido, sonido producido por viento o lluvia fuerte, un incendio grande, una multitud de instectos volando, la barriga sonando de hambre, etc.",,,,The physical world
1858,,,,(2) acción de ir rápidamente (p. ej. deslizándose junto con algo).,,,,Motion
1859,,,,(3) canto del pájaro panari.,,,,Animals
1860,,,,rugir,,Mayormente se refiere al rugir del jaguar devorador de hombres,,Animals
1861,,,,voz del demonio segámai,,,,Religion and belief
1862,,,,voz o gruñido fuerte del jaguar (p. ej. cuando está molesto),,,,Animals
1864,,,,canto del pájaro kovuva,,,,Animals
1865,,,,canto de la chicharra kentori,,,,Animals
1866,,,,acción de romperse en el nudo (p. ej. un tallo de bambú),,,,Agriculture and vegetation
1867,,,,canto del pájaro keruto,,,,Animals
1868,,,,acción de destrozar o chancar una planta o arbusto en la guía [?] o cerca de ella,,,,Agriculture and vegetation
1869,,,,voz del machín blanco kutyaemperi,,,,Animals
1870,,,,voz del mono negro,,,,Animals
1871,,,,acción de frotar contra algo,,,,Basic actions and technology
1872,,,,"sonido producido por puquear (personas, jaguares); voz de la perdiz",,PUQUEAR: producir sonidos soplando las dos manos semijuntas,,Basic actions and technology
1873,,,,"sonido de una canoa chocándose contra algo, o de algo que está siendo metido bruscamente en ella",,,,Basic actions and technology
1874,,,,acción de un mono maquisapa al saltar en las ramas,,,,Animals
1875,,,,voz del loro kíntaro,,,,Animals
1876,,,,canto del pájaro korátsiti,,,,Animals
1877,,,,canto del sapo masero,,,,Animals
1878,,,,"acción de despedazar comida (los loros, murcielagos); acción de cortar profundamente",,,,Animals
1879,,,,acción de hervir por mucho tiempo,,,,Food and drink
1880,,,,sonido que emite el pájaro kóntona,,,,Animals
1881,,,,sonido producido por niños jugando en el agua o cuando hacen vibrar los labios con su bebida,,,,Basic actions and technology
1882,,,,voz del tucán kuárini,,,,Animals
1883,,,,sonido que emite el vampiro kuntsepitoni,,,,Animals
1884,,,,"acción de desgranar; cosechar semillas o granos (varias a la vez; p. ej. café, trigo, achiote)",,,,Agriculture and vegetation
1885,,,,acción de caerse (p. ej. el pelo),,,,Motion
1886,,,,acción de escupir al aire varias veces,,Escupir p. ej. piripiri o ají masticado,,Basic actions and technology
1887,,,,sonido que emite el ave manacaracu,,,,Animals
1888,,,,"acción de centellar (p. ej. plumas brillantes, pelo del jaguar pintado, canoa con diseños en el casco que contrasten con el negro de la canoa quemada; el miriápodo tsirinkanato cuando camina)",,,,Sense perception
1889,,,,llanto del pájaro mákoso,,,,Animals
1890,,,,"acción de romper la tela de las larvas ponta, erama, etc.",,,,Basic actions and technology
1891,,,,acción de cojear,,,,Motion
1892,,,,acción de moverse un emponado ménkotsi,,,,The house
1893,,,,acción de estirar(se) (p. ej. jebe),,,,Basic actions and technology
1894,,,,acción de pelar (p. ej. muchos frutos),,,,Food and drink
1895,,,,acción de apretar (p. ej. los hilos en un telar; los hombros de otra persona),,,,Basic actions and technology
1896,,,,canto del paujil,,,,Animals
1897,,,,acción de mover(se) o sacudir(se),,,,Motion
1898,,,,"movimiento repetido (p. ej. de la membrana que cubre la fontanela de un recién nacido, de algo dentro de una chuspa o bolsa)",,,,Motion
1899,,,,acción de brillar (p. ej. un cometa),,,,Sense perception
1900,,,,sonido producido al morder algo quebradizo,,,,Food and drink
1901,,,,grito del mono musmuqui cuando se le de [sic] un flechazo,,,,"Warfare and hunting, Animals"
1902,,,,balancearse (p. ej. una canoa mal cortada o con el peso mal distribuido),,,,Motion
1903,,,,acción de sacar y mover la lengua rápidamente,,,,The body
1904,,,,acción de tragar muy rápido una masa,,,,"The body, Food and drink"
1905,,,,gruñidos de una manada de sajinos corriendo,,,,Animals
1906,,,,"acción de regar con un poco de agua, de caer muchas semillas, piedritas, etc.",,,,Motion
1907,,,,"acción de lloviznar, de caer continuamente gotitas de lluvia u otras cosas chiquitas",,,,The physical world
1908,,,,descripción de olas llenas de tierra en un río turbio,,,,The physical world
1909,,,,acción de arrancar o sacar un pedazo de carne (p. ej. por mordedura de perro),,,,Basic actions and technology
1910,,,,"sonido que se produce chupando, soplando o acariciando una parte del cuerpo",,,,Basic actions and technology
1911,,,,pellizcar fuertemente (p. ej. en los labios),,,,Basic actions and technology
1912,,,,descripción de algo mezclándose con el agua de un río o de una quebrada (p. ej. agua muy turbia llena de tierra; barbasco al que se le sujeta debajo del agua de una quebrada),,,,The physical world
1913,,,,acción de volar velozmente y en trayectoria recta; acción de dar vueltas o girar rápidamente,,,,Motion
